word,severity,vibe,pos
67,,brainrot,
airball,,brainrot,
beta,,brainrot,
sigma,,brainrot,
alpha ,,brainrot,
alt,,brainrot,
aura,,brainrot,
aura check,,brainrot,
beef,,brainrot,
bet,,brainrot,
big mood,,brainrot,
blud,,brainrot,
bougie,,brainrot,
brainrot,,brainrot,
bruh,,brainrot,
bussin,,brainrot,
canceled,,brainrot,
cap,,brainrot,
gigachad,,brainrot,
chad,,brainrot,
cheugy,,brainrot,
clanker,,brainrot,
cooked,,brainrot,
corecore,,brainrot,
cornification,,brainrot,
cottagecore,,brainrot,
cracked,,brainrot,
crash out,,brainrot,
cringe,,brainrot,
crunchy,,brainrot,
chat,,brainrot,
delulu,,brainrot,
doge,,brainrot,
doomscrolling,,brainrot,
drip,,brainrot,
elite ball knowledge,,brainrot,
fan behavior,,brainrot,
fandoms,,brainrot,
fanum tax,,brainrot,
flex,,brainrot,
fr,,brainrot,
ghosting,,brainrot,
glitching,,brainrot,
glow-up,,brainrot,
goated with the sauce,,brainrot,
goblin mode,,brainrot,
goblin mode,,brainrot,
goofy ahh,,brainrot,
goon/gooning,,brainrot,
grimace shake,,brainrot,
grindset,,brainrot,
gyatt,,brainrot,
hitting the griddy,,brainrot,
it⊙s the [x] for me,,brainrot,
italian brainrot,,brainrot,
john pork,,brainrot,
karen,,brainrot,
knee surgery,,brainrot,
L,,brainrot,
looksmaxxing,,brainrot,
low-key,,brainrot,
main character energy,,brainrot,
mewing,,brainrot,
mid,,brainrot,
no cap,,brainrot,
nonchalant dreadhead,,brainrot,
noob,,brainrot,
not the [x] again!,,brainrot,
not the mosquito again,,brainrot,
npc,,brainrot,
ohio,,brainrot,
oi oi oi baka,,brainrot,
ok boomer,,brainrot,
only in ohio,,brainrot,
period,,brainrot,
pmo,,brainrot,
pick-me girl,,brainrot,
plebian,,brainrot,
pookie,,brainrot,
ragebait,,brainrot,
ratioed,,brainrot,
rent free,,brainrot,
rizz,,brainrot,
roman empire,,brainrot,
savage,,brainrot,
say less,,brainrot,
sheesh!,,brainrot,
ship,,brainrot,
shlawg,,brainrot,
side eye,,brainrot,
sigma,,brainrot,
simp,,brainrot,
skibidi,,brainrot,
skibidi rizzler,,brainrot,
slaps,,brainrot,
slay,,brainrot,
slime,,brainrot,
slop,,brainrot,
soft,,brainrot,
speedrun,,brainrot,
spiraling,,brainrot,
stan,,brainrot,
sus,,brainrot,
sussy,,brainrot,
sybau,,brainrot,
tea,,brainrot,
thirst trap,,brainrot,
too fire,,brainrot,
top g,,brainrot,
touch grass,,brainrot,
ts,,brainrot,
unc,,brainrot,
uwu,,brainrot,
vibe,,brainrot,
vibe check,,brainrot,
W,,brainrot,
yass,,brainrot,
yeet,,brainrot,
you do you,,brainrot,
zesty,,brainrot,
lock in,,brainrot,
slay,,brainrot,
based,,brainrot,
yassified,,brainrot,
canon,,brainrot,
ship,,brainrot,
gatekeep,,brainrot,
simp purr,,brainrot,
ate (and left no crumbs),,brainrot,
i can't,,brainrot,
it's giving...,,brainrot,
feral,,brainrot,
literally me,,brainrot,
gaslight,,brainrot,
ratio,,brainrot,
obsessed,,brainrot,
headcanon,,brainrot,
sigma,,brainrot,
skibidi,,brainrot,
rizz,,brainrot,
gritty,,brainrot,
npc,,brainrot,
ohio,,brainrot,
bing chilling,,brainrot,
goofy ahh,,brainrot,
quandale dingle,,brainrot,
giga chad,,brainrot,
shrekposting,,brainrot,
eepy,,brainrot,
shmove,,brainrot,
