word,severity,vibe,pos
acrotomophilia,4,explicit,noun
acrotomophile,4,explicit,noun
black cock,4,explicit,noun
big cock,4,explicit,noun
huge cock,4,explicit,noun
giant cock,4,explicit,noun
massive cock,3,explicit,noun
throbbing cock,3,explicit,noun
alabama hot pocket,3,explicit,noun
alabama tuna melt,3,explicit,noun
alaskan pipeline,3,explicit,noun
algophilia,3,explicit,noun
algophile,3,explicit,noun
anal,3,explicit,noun
anal assassin,3,explicit,noun
anal astronaut,3,explicit,noun
anilingus,3,explicit,noun
anus,3,explicit,noun
apeshit,3,explicit,noun
apotemnophilia,2,explicit,noun
apotemnophile,3,explicit,noun
arse,3,explicit,noun
ass,3,explicit,noun
ass bandit,1,explicit,noun
arse bandit,2,explicit,noun
autoerotic,3,explicit,adjective
auto erotic,3,explicit,adjective
babeland,2,explicit,noun
baby batter,1,explicit,noun
baby gravy,3,explicit,noun
baby juice,3,explicit,noun
ball batter,3,explicit,noun
ball gravy,3,explicit,noun
ball gag,3,explicit,noun
ball-gag,3,explicit,noun
ballgag,3,explicit,noun
ball-kicking,3,explicit,verb
ball licking,3,explicit,verb
ball-licking,3,explicit,verb
ball sack,3,explicit,noun
ball sucking,3,explicit,verb
ball-sucking,3,explicit,verb
ballcuzi,3,explicit,verb
bangbros,3,explicit,noun
bang bros,3,explicit,noun
bangbus,3,explicit,noun
bang bus,3,explicit,noun
bareback,3,explicit,adjective
barely legal,3,explicit,adjective
bastinado,3,explicit,verb
batty boy,3,explicit,noun
battyboy,3,explicit,noun
batty boi,3,explicit,noun
bdsm,3,explicit,verb
bean flicker,4,explicit,verb
bean-flicker,3,explicit,verb
beanflicker,3,explicit,verb
bean queen,3,explicit,noun
beaner,3,explicit,noun
beaners,3,explicit,noun
beastiality,3,explicit,verb
beestiality,3,explicit,verb
bestiality,3,explicit,verb
beaver cleaver,3,explicit,noun
beaver lips,3,explicit,noun
bellesa,3,explicit,noun
bicon,3,explicit,noun
big boobs,3,explicit,noun
big breasts,3,explicit,noun
big knockers,3,explicit,noun
big tits,3,explicit,noun
birdlock,3,explicit,noun
bitch,3,explicit,noun
bloody,3,explicit,noun
blow your load,3,explicit,noun
blowjob,3,explicit,noun
blue waffle,3,explicit,noun
bluewaffle,3,explicit,noun
