word,severity,vibe,pos
1 man 1 jar,4,explicit,
one man one jar,4,explicit,
one jar one man,4,explicit,
2 girls 1 cup,4,explicit,
two girls one cup,4,explicit,
one cup two girls,4,explicit,
acrotomophilia,3,explicit,
acrotomophile,3,explicit,
black cock,3,explicit,
big cock,3,explicit,
huge cock,3,explicit,
giant cock,3,explicit,
massive cock,3,explicit,
throbbing cock,3,explicit,
alabama hot pocket,3,explicit,
alabama tuna melt,3,explicit,
alaskan pipeline,3,explicit,
algophilia,3,explicit,
algophile,3,explicit,
anal,2,explicit,
anal assassin,3,explicit,
anal astronaut,3,explicit,
anilingus,3,explicit,
anus,1,explicit,
apeshit,2,explicit,
apotemnophilia,3,explicit,
apotemnophile,3,explicit,
arse,2,explicit,
ass,1,explicit,
ass bandit,3,explicit,
arse bandit,3,explicit,
autoerotic,3,explicit,
auto erotic,3,explicit,
babeland,3,explicit,
baby batter,3,explicit,
baby gravy,3,explicit,
baby juice,3,explicit,
ball batter,3,explicit,
ball gravy,3,explicit,
ball gag,3,explicit,
ball-gag,3,explicit,
ballgag,3,explicit,
ball-kicking,3,explicit,
ball licking,3,explicit,
ball-licking,3,explicit,
ball sack,3,explicit,
ball sucking,3,explicit,
ball-sucking,3,explicit,
ballcuzi,3,explicit,
bangbros,3,explicit,
bang bros,3,explicit,
bangbus,3,explicit,
bang bus,3,explicit,
bareback,3,explicit,
barely legal,4,explicit,
bastinado,3,explicit,
batty boy,3,explicit,
battyboy,3,explicit,
batty boi,3,explicit,
bdsm,3,explicit,
bean flicker,3,explicit,
bean-flicker,3,explicit,
beanflicker,3,explicit,
bean queen,3,explicit,
beaner,3,explicit,
beaners,3,explicit,
beastiality,3,explicit,
beestiality,3,explicit,
bestiality,3,explicit,
beaver cleaver,3,explicit,
beaver lips,3,explicit,
bellesa,3,explicit,
bicon,3,explicit,
big boobs,3,explicit,
big breasts,3,explicit,
big knockers,3,explicit,
big tits,3,explicit,
birdlock,3,explicit,
bitch,3,explicit,
bloody,1,explicit,
blow your load,3,explicit,
blowjob,3,explicit,
blue waffle,4,explicit,
bluewaffle,4,explicit,
blumpkin,3,explicit,
bone smuggler,3,explicit,
bone-smuggler,3,explicit,
bonesmuggler,3,explicit,
boner,3,explicit,
raging boner,3,explicit,
throbbing boner,3,explicit,
boob,1,explicit,
booty buffer,3,explicit,
booty-buffer,3,explicit,
booty call,3,explicit,
boston george,3,explicit,
breasts,1,explicit,
brown piper,3,explicit,
brown-piper,3,explicit,
brownpiper,3,explicit,
brown shower,3,explicit,
brown showers,3,explicit,
brownie king,3,explicit,
brownie queen,3,explicit,
buddhahead,3,explicit,
buddha head,3,explicit,
buddha-head,3,explicit,
bufter,3,explicit,
bufty,3,explicit,
bukkake,3,explicit,
bulldyke,3,explicit,
bullet vibe,3,explicit,
bullet vibrator,3,explicit,
bullshit,2,explicit,
bum chum,3,explicit,
bum-chum,3,explicit,
bumchum,3,explicit,
bum driller,3,explicit,
bum-driller,3,explicit,
bumdriller,3,explicit,
butt boy,3,explicit,
butt-boy,3,explicit,
buttboy,3,explicit,
bum boy,3,explicit,
bum-boy,3,explicit,
bumboy,3,explicit,
butt pilot,3,explicit,
bum pilot,3,explicit,
butt pirate,3,explicit,
bum pirate,3,explicit,
bum-pirate,3,explicit,
butt rider,3,explicit,
buttrider,3,explicit,
bum rider,3,explicit,
bumrider,3,explicit,
butt robber,3,explicit,
butt-robber,3,explicit,
buttrobber,3,explicit,
bum robber,3,explicit,
bum-robber,3,explicit,
bumrobber,3,explicit,
butt rustler,3,explicit,
bum rustler,3,explicit,
butthole engineer,3,explicit,
bumhole engineer,3,explicit,
camel jockey,3,explicit,
cameljockey,3,explicit,
camel jockies,3,explicit,
cameljockies,3,explicit,
camel toe,3,explicit,
canadian porch swing,3,explicit,
carpet muncher,3,explicit,
carpetmuncher,3,explicit,
cheese-eating surrender monkey,3,explicit,
cheese eating surrender monkey,3,explicit,
chi-chi man,3,explicit,
chicken queen,3,explicit,
chinaman,2,explicit,
ching-chong,2,explicit,
ching chong,2,explicit,
chink,3,explicit,
chinks,3,explicit,
chinky,3,explicit,
chocolate rosebud,3,explicit,
chocolate rosebuds,3,explicit,
cholerophilia,3,explicit,
cholerophile,3,explicit,
cialis,3,explicit,
circlejerk,3,explicit,
circle-jerk,3,explicit,
cishet,3,explicit,
cissy,3,explicit,
cissie,3,explicit,
claustrophilia,3,explicit,
claustrophile,3,explicit,
cleveland accordion,3,explicit,
cleveland hot waffle,3,explicit,
cleveland steamer,3,explicit,
clit,3,explicit,
clover clamps,3,explicit,
clover clamp,3,explicit,
clusterfuck,4,explicit,
cluster-fuck,4,explicit,
cluster fuck,4,explicit,
cock,2,explicit,
cockpipe cosmonaut,3,explicit,
cockstruction worker,3,explicit,
coimetrophilia,3,explicit,
coimetrophile,3,explicit,
collaring,3,explicit,
collared,3,explicit,
coon,3,explicit,
coons,3,explicit,
coprophilia,3,explicit,
coprophile,3,explicit,
coprolagnia,3,explicit,
cornhole,3,explicit,
crafty butcher,3,explicit,
cra*p,1,explicit,
creampie,3,explicit,
cream-pie,3,explicit,
cum,3,explicit,
cumming,3,explicit,
cumshot,3,explicit,
cumshots,3,explicit,
cum shot,3,explicit,
cum shots,3,explicit,
cunnilingus,3,explicit,
cunts,4,explicit,
kunts,4,explicit,
cuntboy,3,explicit,
cunt-boy,3,explicit,
cunt boy,3,explicit,
curry muncher,3,explicit,
curry-muncher,3,explicit,
currymuncher,3,explicit,
damn,1,explicit,
darkie,3,explicit,
darkies,3,explicit,
darky,3,explicit,
darkey,3,explicit,
date rape,4,explicit,
daterape,4,explicit,
ddlg,3,explicit,
deep throat,3,explicit,
deep-throat,3,explicit,
deepthroat,3,explicit,
dendrophilia,3,explicit,
dendrophile,3,explicit,
dick,2,explicit,
dickgirl,3,explicit,
dick-girl,3,explicit,
dick girl,3,explicit,
dildo,3,explicit,
dildos,3,explicit,
dingleberry,1,explicit,
dingleberries,1,explicit,
dipsea,3,explicit,
dirty pillows,3,explicit,
dirty sanchez,3,explicit,
dishabiliophilia,3,explicit,
dishabiliophile,3,explicit,
doggie style,3,explicit,
doggy style,3,explicit,
dogshit,2,explicit,
dog-shit,2,explicit,
dog shit,2,explicit,
dolcett,3,explicit,
domination,3,explicit,
dominatrix,3,explicit,
domme,3,explicit,
dommes,3,explicit,
donkey punch,3,explicit,
donut muncher,3,explicit,
donut puncher,3,explicit,
double penetration,3,explicit,
dp action,3,explicit,
dry hump,3,explicit,
dune coon,3,explicit,
dune-coon,3,explicit,
doon coon,3,explicit,
dooncoon,3,explicit,
dutch rudder,3,explicit,
dyke,3,explicit,
dystychiphilia,3,explicit,
dystychiphile,3,explicit,
edgeplay,3,explicit,
edge play,3,explicit,
ejaculate,3,explicit,
ejaculation,3,explicit,
ejaculating,3,explicit,
ejaculated,3,explicit,
electro-play,3,explicit,
electroplay,3,explicit,
emetophilia,3,explicit,
emetophile,3,explicit,
enby,3,explicit,
eskimo trebuchet,3,explicit,
eyetie,2,explicit,
eye-tie,2,explicit,
fag,3,explicit,
fag bomb,3,explicit,
fag-bomb,3,explicit,
fagbomb,3,explicit,
felch,3,explicit,
felching,3,explicit,
fellatio,3,explicit,
fellating,3,explicit,
female squirting,3,explicit,
figging,3,explicit,
fingerbang,3,explicit,
finger bang,3,explicit,
fingerbanging,3,explicit,
fingering,3,explicit,
fingered,3,explicit,
finocchio,3,explicit,
finochio,3,explicit,
finoccio,3,explicit,
fisting,3,explicit,
fisted,3,explicit,
footjob,3,explicit,
foot-job,3,explicit,
foot job,3,explicit,
french rudder,3,explicit,
frogeater,2,explicit,
frog-eater,2,explicit,
frog eater,2,explicit,
frolicme,3,explicit,
frolic me,3,explicit,
frotting,3,explicit,
frottage,3,explicit,
fuck,4,explicit,
fucks,4,explicit,
fucker,4,explicit,
fucking,4,explicit,
fuckhead,4,explicit,
fuckheads,4,explicit,
fucktard,4,explicit,
fucktards,4,explicit,
fuckwad,4,explicit,
fuckwads,4,explicit,
fuckwit,4,explicit,
fuckwits,4,explicit,
fuckwhit,4,explicit,
fuck-wit,4,explicit,
fudge packer,3,explicit,
fudge-packer,3,explicit,
fudgepacker,3,explicit,
futanari,3,explicit,
g-spot,3,explicit,
gangbang,3,explicit,
gang bang,3,explicit,
gay sex,3,explicit,
gaysian,3,explicit,
genitals,1,explicit,
genitorture,3,explicit,
gerontophilia,3,explicit,
gerontophile,3,explicit,
gin jockey,2,explicit,
gin jocky,2,explicit,
girl on top,3,explicit,
goatse,4,explicit,
goatcx,4,explicit,
god damn,2,explicit,
god-damn,2,explicit,
goddamn,2,explicit,
god damned,2,explicit,
god-damned,2,explicit,
goddamned,2,explicit,
gokkun,3,explicit,
go-kun,3,explicit,
golden shower,3,explicit,
golden showers,3,explicit,
yellow shower,3,explicit,
yellow showers,3,explicit,
golliwog,2,explicit,
gollywog,2,explicit,
gook,3,explicit,
gooks,3,explicit,
gook-eye,3,explicit,
gooky,3,explicit,
gookie,3,explicit,
goregasm,4,explicit,
greaseball,2,explicit,
grey queen,3,explicit,
gray queen,3,explicit,
grope,3,explicit,
group sex,3,explicit,
gym bunny,3,explicit,
gymbunny,3,explicit,
haji,2,explicit,
hajj*i,2,explicit,
