word,severity,vibe,pos
condition,1,random,noun
Adams,1,random,noun
indite,2,random,verb
Stephen Crane,1,random,noun
block diagram,3,random,noun
legal expert,3,random,noun
Collinsonia,1,random,noun
Chelifer,2,random,noun
woodlet,3,random,noun
callous,1,random,verb
Peromyscus eremicus,3,random,noun
genus Mentha,2,random,noun
lahar,2,random,noun
alacrity,3,random,noun
narrow-leaved bottletree,4,random,noun
disclosure,2,random,noun
benthic division,3,random,noun
Ra,4,random,noun
lustrum,4,random,noun
hipped tile,4,random,noun
killdeer,4,random,noun
Talinum paniculatum,3,random,noun
bipedal,1,random,adjective
conventionality,4,random,noun
atherosclerosis,3,random,noun
flats,4,random,noun
chariot,2,random,noun
Blucher,4,random,noun
sparingly,4,random,adverb
weather deck,3,random,noun
United States government,4,random,noun
bog rein orchid,3,random,noun
small-eared,2,random,adjective
Muztagh,3,random,noun
self-suggestion,1,random,noun
conditions,1,random,noun
alfilaria,4,random,noun
barefooted,4,random,adjective
hematopoietic,3,random,adjective
Isopoda,3,random,noun
Lateran Council,1,random,noun
Cryptotis parva,4,random,noun
Matricaria chamomilla,3,random,noun
Streptopelia,1,random,noun
battalion,3,random,noun
shutter,4,random,verb
OK,1,random,adverb
levanter,3,random,noun
hopped-up,3,random,adjective
tusseh,1,random,noun
ebonite,1,random,noun
reversionist,1,random,noun
order Hypericales,1,random,noun
king protea,1,random,noun
stripy,3,random,adjective
apocope,4,random,noun
mortise,2,random,noun
overcloud,3,random,verb
tupelo tree,4,random,noun
swathe,2,random,verb
clock face,3,random,noun
uncombed,3,random,adjective
vena lingualis,4,random,noun
immersion,3,random,noun
kite balloon,2,random,noun
hurler,3,random,noun
doctrinal,1,random,adjective
gossiping,2,random,noun
Great Smoky Mountains National Park,3,random,noun
barbwire,1,random,noun
side of bacon,4,random,noun
Dhahran,4,random,noun
Nepenthes,4,random,noun
spinal,4,random,adjective
do up,3,random,verb
bound,1,random,noun
luggage,2,random,noun
cortical potential,4,random,noun
genus Ostryopsis,2,random,noun
chemotaxis,4,random,noun
Dnieper River,2,random,noun
run-resistant,1,random,adjective
in extremis,2,random,adverb
parr,1,random,noun
I.E.D.,4,random,noun
lecanopteris,1,random,noun
shelve,4,random,verb
patent,1,random,verb
accountant,3,random,noun
jodhpurs,3,random,noun
full dress,4,random,noun
look out,2,random,verb
steepness,2,random,noun
variedness,1,random,noun
cleaning device,3,random,noun
sentence structure,2,random,noun
crooked-stemmed aster,4,random,noun
conversation stopper,4,random,noun
Battle of the Little Bighorn,2,random,noun
levy,3,random,noun
chum up,3,random,verb
killer T cell,1,random,noun
fistulate,1,random,adjective
weighing,1,random,noun
cyst,4,random,noun
atole,1,random,noun
Christian Friedrich Schonbein,1,random,noun
algebraical,2,random,adjective
maize,3,random,noun
viscount,2,random,noun
capital of Malta,3,random,noun
agonistic,4,random,adjective
River Aire,1,random,noun
zodiacal,2,random,adjective
Lysiloma sabicu,4,random,noun
freeze-dried,3,random,adjective
St. George's,2,random,noun
paraquet,3,random,noun
egg noodle,4,random,noun
genetic mutation,1,random,noun
setose,2,random,adjective
Corydalis,2,random,noun
lust for learning,3,random,noun
healthy,1,random,adjective
solitudinarian,3,random,noun
undyed,4,random,adjective
long beech fern,3,random,noun
angularity,2,random,noun
agar-agar,1,random,noun
dormant,1,random,adjective
self-depreciation,1,random,noun
inactive,3,random,adjective
megalosaurus,4,random,noun
Caladium bicolor,1,random,noun
cannister,1,random,noun
subphylum Urochorda,3,random,noun
quincentennial,4,random,noun
genus Luscinia,1,random,noun
appendicular skeleton,2,random,noun
morphological,1,random,adjective
BASIC,1,random,noun
order Mysidacea,2,random,noun
notornis,3,random,noun
infernally,4,random,adverb
vaticinate,2,random,verb
spirituous,3,random,adjective
admeasure,3,random,verb
breakableness,2,random,noun
steady,2,random,adjective
swatter,1,random,noun
gather in,2,random,verb
occupation,4,random,noun
post hoc,4,random,noun
approaching,2,random,noun
unplumbed,1,random,adjective
ascending colon,4,random,noun
peacekeeper,3,random,noun
Saint John River,1,random,noun
bang-up,1,random,adjective
dart player,4,random,noun
flax rust,3,random,noun
computed tomography,2,random,noun
found,3,random,adjective
nonrational,1,random,adjective
battlement,3,random,noun
stegosaur,1,random,noun
bargain hunter,4,random,noun
music critic,4,random,noun
monolingual,1,random,adjective
order Saprolegniales,1,random,noun
usurer,4,random,noun
var.,1,random,noun
Cyrillic alphabet,1,random,noun
ancient history,1,random,noun
genus Tragulus,3,random,noun
trip line,3,random,noun
irritable bowel syndrome,3,random,noun
Gymnomycota,1,random,noun
capital of Maine,1,random,noun
intradermal,4,random,adjective
Felis serval,2,random,noun
cute,2,random,adjective
attached,3,random,adjective
rock geranium,3,random,noun
rheum,4,random,noun
fusiform,3,random,adjective
obsolescent,1,random,adjective
Noctiluca miliaris,2,random,noun
gorger,1,random,noun
interdependency,1,random,noun
reliably,1,random,adverb
August F. Mobius,4,random,noun
hesitate,3,random,verb
house-trained,2,random,adjective
Saami,2,random,noun
NRO,1,random,noun
deaden,2,random,verb
mustard family,3,random,noun
genus Edaphosaurus,4,random,noun
spinal column,4,random,noun
telegraph pole,4,random,noun
Byron,4,random,noun
NAWCWPNS,2,random,noun
adamantly,1,random,adverb
Sermon on the Mount,1,random,noun
run-of-the-mill,4,random,adjective
swami,4,random,noun
margin account,2,random,noun
civilize,3,random,verb
Percophidae,4,random,noun
coltsfoot,2,random,noun
imminence,1,random,noun
Acanthocephala,4,random,noun
caesarean section,2,random,noun
demurely,3,random,adverb
corvee,1,random,noun
jury box,3,random,noun
Pongidae,3,random,noun
rancher,3,random,noun
quarrelsomeness,2,random,noun
false sarsaparilla,2,random,noun
mature,4,random,adjective
business community,1,random,noun
quarry,3,random,noun
range finder,1,random,noun
Platanus wrightii,1,random,noun
woosh,4,random,verb
perjure,1,random,verb
cosmid,4,random,noun
acrophobia,3,random,noun
steam iron,4,random,noun
apomictic,2,random,adjective
scrotum,3,random,noun
Moor,1,random,noun
prerequisite,3,random,noun
cymule,3,random,noun
Marian,2,random,adjective
Fagus americana,4,random,noun
shoot,1,random,noun
wand,2,random,noun
ballroom dancing,1,random,noun
initiator,1,random,noun
default option,2,random,noun
Saint Lucia,1,random,noun
dentition,3,random,noun
thunder lizard,1,random,noun
pole vaulting,3,random,noun
spectroscopy,2,random,noun
escape cock,2,random,noun
accused,3,random,noun
communication system,1,random,noun
liquidity crisis,3,random,noun
prettily,1,random,adverb
endocervicitis,3,random,noun
flamboyant,2,random,noun
vintager,1,random,noun
easiness,1,random,noun
Pleurosorus,1,random,noun
genus Tetraclinis,1,random,noun
similitude,1,random,noun
harpooner,4,random,noun
trainee,2,random,noun
native pear,3,random,noun
ramose,1,random,adjective
masterpiece,2,random,noun
eulogise,2,random,verb
hematocele,3,random,noun
yellow spot fungus,4,random,noun
hedeoma oil,1,random,noun
Charioteer,3,random,noun
Truffaut,2,random,noun
PiB,3,random,noun
Schizopoda,2,random,noun
sex change,3,random,noun
Jacques Tatischeff,2,random,noun
Judith Jamison,4,random,noun
