word,severity,vibe,pos,
condition,1,other,noun,
Adams,1,other,noun,
indite,2,other,verb,
Stephen Crane,1,other,noun,
block diagram,3,other,noun,
legal expert,3,other,noun,
Collinsonia,1,other,noun,
Chelifer,2,other,noun,
woodlet,3,other,noun,
callous,1,other,verb,
Peromyscus eremicus,3,other,noun,
genus Mentha,2,other,noun,
lahar,2,other,noun,
alacrity,3,other,noun,
narrow-leaved bottletree,4,other,noun,
disclosure,2,other,noun,
benthic division,3,other,noun,
Ra,4,other,noun,
lustrum,4,other,noun,
hipped tile,4,other,noun,
killdeer,4,other,noun,
Talinum paniculatum,3,other,noun,
bipedal,1,other,adjective,
conventionality,4,other,noun,
atherosclerosis,3,other,noun,
flats,4,other,noun,
chariot,2,other,noun,
Blucher,4,other,noun,
sparingly,4,other,adverb,
weather deck,3,other,noun,
United States government,4,other,noun,
bog rein orchid,3,other,noun,
small-eared,2,other,adjective,
Muztagh,3,other,noun,
self-suggestion,1,other,noun,
conditions,1,other,noun,
alfilaria,4,other,noun,
barefooted,4,other,adjective,
hematopoietic,3,other,adjective,
Isopoda,3,other,noun,
Lateran Council,1,other,noun,
Cryptotis parva,4,other,noun,
Matricaria chamomilla,3,other,noun,
Streptopelia,1,other,noun,
battalion,3,other,noun,
shutter,4,other,verb,
OK,1,other,adverb,
levanter,3,other,noun,
hopped-up,3,other,adjective,
tusseh,1,other,noun,
ebonite,1,other,noun,
reversionist,1,other,noun,
order Hypericales,1,other,noun,
king protea,1,other,noun,
stripy,3,other,adjective,
apocope,4,other,noun,
mortise,2,other,noun,
overcloud,3,other,verb,
tupelo tree,4,other,noun,
swathe,2,other,verb,
clock face,3,other,noun,
uncombed,3,other,adjective,
vena lingualis,4,other,noun,
immersion,3,other,noun,
kite balloon,2,other,noun,
hurler,3,other,noun,
doctrinal,1,other,adjective,
gossiping,2,other,noun,
Great Smoky Mountains National Park,3,other,noun,
barbwire,1,other,noun,
side of bacon,4,other,noun,
Dhahran,4,other,noun,
Nepenthes,4,other,noun,
spinal,4,other,adjective,
do up,3,other,verb,
bound,1,other,noun,
luggage,2,other,noun,
cortical potential,4,other,noun,
genus Ostryopsis,2,other,noun,
chemotaxis,4,other,noun,
Dnieper River,2,other,noun,
run-resistant,1,other,adjective,
in extremis,2,other,adverb,
parr,1,other,noun,
I.E.D.,4,other,noun,
lecanopteris,1,other,noun,
shelve,4,other,verb,
patent,1,other,verb,
accountant,3,other,noun,
jodhpurs,3,other,noun,
full dress,4,other,noun,
look out,2,other,verb,
steepness,2,other,noun,
variedness,1,other,noun,
cleaning device,3,other,noun,
sentence structure,2,other,noun,
crooked-stemmed aster,4,other,noun,
conversation stopper,4,other,noun,
Battle of the Little Bighorn,2,other,noun,
levy,3,other,noun,
chum up,3,other,verb,
killer T cell,1,other,noun,
fistulate,1,other,adjective,
weighing,1,other,noun,
cyst,4,other,noun,
atole,1,other,noun,
Christian Friedrich Schonbein,1,other,noun,
algebraical,2,other,adjective,
maize,3,other,noun,
viscount,2,other,noun,
capital of Malta,3,other,noun,
agonistic,4,other,adjective,
River Aire,1,other,noun,
zodiacal,2,other,adjective,
Lysiloma sabicu,4,other,noun,
freeze-dried,3,other,adjective,
St. George's,2,other,noun,
paraquet,3,other,noun,
egg noodle,4,other,noun,
genetic mutation,1,other,noun,
setose,2,other,adjective,
Corydalis,2,other,noun,
lust for learning,3,other,noun,
healthy,1,other,adjective,
solitudinarian,3,other,noun,
undyed,4,other,adjective,
long beech fern,3,other,noun,
angularity,2,other,noun,
agar-agar,1,other,noun,
dormant,1,other,adjective,
self-depreciation,1,other,noun,
inactive,3,other,adjective,
megalosaurus,4,other,noun,
Caladium bicolor,1,other,noun,
cannister,1,other,noun,
subphylum Urochorda,3,other,noun,
quincentennial,4,other,noun,
genus Luscinia,1,other,noun,
