word,severity,vibe,pos
condition,,other,noun
Adams,,other,noun
indite,,other,verb
Stephen Crane,,other,noun
block diagram,,other,noun
legal expert,,other,noun
Collinsonia,,other,noun
Chelifer,,other,noun
woodlet,,other,noun
callous,,other,verb
Peromyscus eremicus,,other,noun
genus Mentha,,other,noun
lahar,,other,noun
alacrity,,other,noun
narrow-leaved bottletree,,other,noun
disclosure,,other,noun
benthic division,,other,noun
Ra,,other,noun
lustrum,,other,noun
hipped tile,,other,noun
killdeer,,other,noun
Talinum paniculatum,,other,noun
bipedal,,other,adjective
conventionality,,other,noun
atherosclerosis,,other,noun
flats,,other,noun
chariot,,other,noun
Blucher,,other,noun
sparingly,,other,adverb
weather deck,,other,noun
United States government,,other,noun
bog rein orchid,,other,noun
small-eared,,other,adjective
Muztagh,,other,noun
self-suggestion,,other,noun
conditions,,other,noun
alfilaria,,other,noun
barefooted,,other,adjective
hematopoietic,,other,adjective
Isopoda,,other,noun
Lateran Council,,other,noun
Cryptotis parva,,other,noun
Matricaria chamomilla,,other,noun
Streptopelia,,other,noun
battalion,,other,noun
shutter,,other,verb
OK,,other,adverb
levanter,,other,noun
hopped-up,,other,adjective
tusseh,,other,noun
ebonite,,other,noun
reversionist,,other,noun
order Hypericales,,other,noun
king protea,,other,noun
stripy,,other,adjective
apocope,,other,noun
mortise,,other,noun
overcloud,,other,verb
tupelo tree,,other,noun
swathe,,other,verb
clock face,,other,noun
uncombed,,other,adjective
vena lingualis,,other,noun
immersion,,other,noun
kite balloon,,other,noun
hurler,,other,noun
doctrinal,,other,adjective
gossiping,,other,noun
Great Smoky Mountains National Park,,other,noun
barbwire,,other,noun
side of bacon,,other,noun
Dhahran,,other,noun
Nepenthes,,other,noun
spinal,,other,adjective
do up,,other,verb
bound,,other,noun
luggage,,other,noun
cortical potential,,other,noun
genus Ostryopsis,,other,noun
chemotaxis,,other,noun
Dnieper River,,other,noun
run-resistant,,other,adjective
in extremis,,other,adverb
parr,,other,noun
I.E.D.,,other,noun
lecanopteris,,other,noun
shelve,,other,verb
patent,,other,verb
accountant,,other,noun
jodhpurs,,other,noun
full dress,,other,noun
look out,,other,verb
steepness,,other,noun
variedness,,other,noun
cleaning device,,other,noun
sentence structure,,other,noun
crooked-stemmed aster,,other,noun
conversation stopper,,other,noun
Battle of the Little Bighorn,,other,noun
levy,,other,noun
chum up,,other,verb
killer T cell,,other,noun
fistulate,,other,adjective
weighing,,other,noun
cyst,,other,noun
atole,,other,noun
Christian Friedrich Schonbein,,other,noun
algebraical,,other,adjective
maize,,other,noun
viscount,,other,noun
capital of Malta,,other,noun
agonistic,,other,adjective
River Aire,,other,noun
zodiacal,,other,adjective
Lysiloma sabicu,,other,noun
freeze-dried,,other,adjective
St. George's,,other,noun
paraquet,,other,noun
egg noodle,,other,noun
genetic mutation,,other,noun
setose,,other,adjective
Corydalis,,other,noun
lust for learning,,other,noun
healthy,,other,adjective
solitudinarian,,other,noun
undyed,,other,adjective
long beech fern,,other,noun
angularity,,other,noun
agar-agar,,other,noun
dormant,,other,adjective
self-depreciation,,other,noun
inactive,,other,adjective
megalosaurus,,other,noun
Caladium bicolor,,other,noun
cannister,,other,noun
subphylum Urochorda,,other,noun
quincentennial,,other,noun
genus Luscinia,,other,noun
appendicular skeleton,,other,noun
morphological,,other,adjective
BASIC,,other,noun
order Mysidacea,,other,noun
notornis,,other,noun
infernally,,other,adverb
vaticinate,,other,verb
spirituous,,other,adjective
admeasure,,other,verb
breakableness,,other,noun
steady,,other,adjective
swatter,,other,noun
gather in,,other,verb
occupation,,other,noun
post hoc,,other,noun
approaching,,other,noun
unplumbed,,other,adjective
ascending colon,,other,noun
peacekeeper,,other,noun
Saint John River,,other,noun
bang-up,,other,adjective
dart player,,other,noun
flax rust,,other,noun
computed tomography,,other,noun
found,,other,adjective
nonrational,,other,adjective
battlement,,other,noun
stegosaur,,other,noun
bargain hunter,,other,noun
music critic,,other,noun
monolingual,,other,adjective
order Saprolegniales,,other,noun
usurer,,other,noun
var.,,other,noun
Cyrillic alphabet,,other,noun
ancient history,,other,noun
genus Tragulus,,other,noun
trip line,,other,noun
irritable bowel syndrome,,other,noun
Gymnomycota,,other,noun
capital of Maine,,other,noun
intradermal,,other,adjective
Felis serval,,other,noun
cute,,other,adjective
attached,,other,adjective
rock geranium,,other,noun
rheum,,other,noun
fusiform,,other,adjective
obsolescent,,other,adjective
Noctiluca miliaris,,other,noun
gorger,,other,noun
interdependency,,other,noun
reliably,,other,adverb
August F. Mobius,,other,noun
hesitate,,other,verb
house-trained,,other,adjective
Saami,,other,noun
NRO,,other,noun
deaden,,other,verb
mustard family,,other,noun
genus Edaphosaurus,,other,noun
spinal column,,other,noun
telegraph pole,,other,noun
Byron,,other,noun
NAWCWPNS,,other,noun
adamantly,,other,adverb
Sermon on the Mount,,other,noun
run-of-the-mill,,other,adjective
swami,,other,noun
margin account,,other,noun
civilize,,other,verb
Percophidae,,other,noun
coltsfoot,,other,noun
imminence,,other,noun
Acanthocephala,,other,noun
caesarean section,,other,noun
demurely,,other,adverb
corvee,,other,noun
jury box,,other,noun
Pongidae,,other,noun
rancher,,other,noun
quarrelsomeness,,other,noun
false sarsaparilla,,other,noun
mature,,other,adjective
business community,,other,noun
quarry,,other,noun
range finder,,other,noun
Platanus wrightii,,other,noun
woosh,,other,verb
perjure,,other,verb
cosmid,,other,noun
acrophobia,,other,noun
steam iron,,other,noun
apomictic,,other,adjective
scrotum,,other,noun
Moor,,other,noun
prerequisite,,other,noun
cymule,,other,noun
Marian,,other,adjective
Fagus americana,,other,noun
shoot,,other,noun
wand,,other,noun
ballroom dancing,,other,noun
initiator,,other,noun
default option,,other,noun
Saint Lucia,,other,noun
dentition,,other,noun
thunder lizard,,other,noun
pole vaulting,,other,noun
spectroscopy,,other,noun
escape cock,,other,noun
accused,,other,noun
communication system,,other,noun
liquidity crisis,,other,noun
prettily,,other,adverb
endocervicitis,,other,noun
flamboyant,,other,noun
vintager,,other,noun
easiness,,other,noun
Pleurosorus,,other,noun
genus Tetraclinis,,other,noun
similitude,,other,noun
harpooner,,other,noun
trainee,,other,noun
native pear,,other,noun
ramose,,other,adjective
masterpiece,,other,noun
eulogise,,other,verb
hematocele,,other,noun
yellow spot fungus,,other,noun
hedeoma oil,,other,noun
Charioteer,,other,noun
Truffaut,,other,noun
PiB,,other,noun
Schizopoda,,other,noun
sex change,,other,noun
Jacques Tatischeff,,other,noun
Judith Jamison,,other,noun
specially,,other,adverb
taipan,,other,noun
stem lettuce,,other,noun
travelling bag,,other,noun
conduct,,other,verb
bite off,,other,verb
monoclinal,,other,adjective
taken with,,other,adjective
peaceful,,other,adjective
dwarf flowering almond,,other,noun
Bufo marinus,,other,noun
shrimp Newburg,,other,noun
Aphrophora saratogensis,,other,noun
frightful,,other,adjective
bagful,,other,noun
decriminalization,,other,noun
casement,,other,noun
statutory,,other,adjective
unkeyed,,other,adjective
maple-like,,other,adjective
Abdias,,other,noun
Tiarella unifoliata,,other,noun
integrated,,other,adjective
bubble bath,,other,noun
dolor,,other,noun
Dakar,,other,noun
silver tree,,other,noun
Negritude,,other,noun
saute,,other,noun
metastasis,,other,noun
High Holiday,,other,noun
vegetate,,other,verb
samurai,,other,noun
dirigible,,other,noun
vehicle-borne transmission,,other,noun
amount,,other,verb
typewrite,,other,verb
appal,,other,verb
apple tree,,other,noun
superannuated,,other,adjective
abloom,,other,adjective
dilute,,other,verb
bitter pea,,other,noun
imaging,,other,noun
epicanthic fold,,other,noun
leatherback turtle,,other,noun
sunset,,other,noun
isocarboxazid,,other,noun
doctor-fish,,other,noun
coalpit,,other,noun
dulciana,,other,noun
inverted pleat,,other,noun
Otho I,,other,noun
smalleye hammerhead,,other,noun
typo,,other,noun
apothecaries' ounce,,other,noun
countryfolk,,other,noun
vulcanise,,other,verb
percussion instrument,,other,noun
open-heart surgery,,other,noun
Rocky Mountain bighorn,,other,noun
ThB,,other,noun
lemon sole,,other,noun
smock,,other,verb
tweeter,,other,noun
stacte,,other,noun
vena choroidea,,other,noun
rase,,other,verb
climatology,,other,noun
silver,,other,verb
vasa brevis,,other,noun
Hakenkreuz,,other,noun
Scottish,,other,noun
Ted Shawn,,other,noun
frosting,,other,noun
lazy Susan,,other,noun
Seleucus I Nicator,,other,noun
hairpiece,,other,noun
inspirer,,other,noun
United States dollar,,other,noun
socialist economy,,other,noun
fifth cranial nerve,,other,noun
articular muscle,,other,noun
pyralid,,other,noun
apperception,,other,noun
arraign,,other,verb
dried,,other,adjective
Commelinaceae,,other,noun
Dos Passos,,other,noun
Bromus,,other,noun
indecent,,other,adjective
laundry,,other,noun
semicoma,,other,noun
radical cell,,other,noun
cortege,,other,noun
genus Andryala,,other,noun
annul,,other,verb
inception,,other,noun
centromeric,,other,adjective
mundaneness,,other,noun
porkfish,,other,noun
wildflower,,other,noun
class Chondrichthyes,,other,noun
genus Ictiobus,,other,noun
maiden voyage,,other,noun
valley fever,,other,noun
accord and satisfaction,,other,noun
anisometropia,,other,noun
picturesqueness,,other,noun
European Central Bank,,other,noun
fearfully,,other,adverb
reward,,other,noun
Michael Assat,,other,noun
scarabaeid,,other,noun
sanguification,,other,noun
Hamamelidanthum,,other,noun
situation comedy,,other,noun
Normandie,,other,noun
sidereal day,,other,noun
magnetic dipole moment,,other,noun
crystal detector,,other,noun
immune response,,other,noun
topgallant mast,,other,noun
lifeboat,,other,noun
lithograph,,other,noun
Judaea,,other,noun
day lily,,other,noun
stout,,other,noun
not to mention,,other,adverb
eyeglass wearer,,other,noun
kicking,,other,noun
sympathetic vibration,,other,noun
cornelian,,other,noun
bring down,,other,verb
helper cell,,other,noun
avitaminosis,,other,noun
white out,,other,verb
goat god,,other,noun
areola,,other,noun
Mount Tacoma,,other,noun
endeavour,,other,noun
lead-acid accumulator,,other,noun
Baptist,,other,noun
asper,,other,noun
Kingdom of Saudi Arabia,,other,noun
cradlesong,,other,noun
Cimicifuga americana,,other,noun
Testudo,,other,noun
Sergei Eisenstein,,other,noun
hedge nettle,,other,noun
Entelea,,other,noun
grume,,other,noun
salad bar,,other,noun
suburb,,other,noun
Gidar,,other,noun
flag smut fungus,,other,noun
defilement,,other,noun
repudiative,,other,adjective
second-in-command,,other,noun
snow chain,,other,noun
harpooneer,,other,noun
exocrine,,other,noun
National Rifle Association,,other,noun
bureaucratically,,other,adverb
genus Cinnamomum,,other,noun
hesitancy,,other,noun
Recife,,other,noun
billiard player,,other,noun
mutagen,,other,noun
Pyralididae,,other,noun
cervical vertebra,,other,noun
outperform,,other,verb
dolphin,,other,noun
Vouvray,,other,noun
insider information,,other,noun
sayonara,,other,noun
Queen of England,,other,noun
family Morchellaceae,,other,noun
precognition,,other,noun
dermatomyositis,,other,noun
leresis,,other,noun
measurability,,other,noun
Michener,,other,noun
gobble,,other,verb
electrostatically,,other,adverb
theater,,other,noun
Carl XVI Gustaf,,other,noun
Domingo,,other,noun
lateral ventricle,,other,noun
brunet,,other,adjective
family Carcharhinidae,,other,noun
Agnes George de Mille,,other,noun
milliped,,other,noun
visual percept,,other,noun
angiospermous yellowwood,,other,noun
Welsh poppy,,other,noun
slumbery,,other,adjective
she-devil,,other,noun
tutorial,,other,adjective
genus Lunda,,other,noun
house of worship,,other,noun
mathematical product,,other,noun
operational casualty,,other,noun
unseemly,,other,adjective
exit,,other,noun
kindergarten,,other,noun
bee beetle,,other,noun
Alaskan,,other,adjective
ascendent,,other,noun
panorama,,other,noun
psychoanalyze,,other,verb
swap file,,other,noun
fulfilled,,other,adjective
reinforcement,,other,noun
gas pedal,,other,noun
Securities and Exchange Commission,,other,noun
behave,,other,verb
Shah of Iran,,other,noun
DiaBeta,,other,noun
Spondias,,other,noun
wind gauge,,other,noun
Sassenach,,other,noun
readjustment,,other,noun
Chou En-lai,,other,noun
Secretary of Labor,,other,noun
Trachinotus carolinus,,other,noun
Potsdam,,other,noun
slingback,,other,noun
pause,,other,noun
businesspeople,,other,noun
Ferrara,,other,noun
overjealous,,other,adjective
lat,,other,noun
second-guess,,other,verb
griping,,other,noun
Heavenly City,,other,noun
revery,,other,noun
woodsy,,other,adjective
blood plasma,,other,noun
noma,,other,noun
phase modulation,,other,noun
olden,,other,adjective
cyberculture,,other,noun
hula,,other,noun
dilapidated,,other,adjective
deconstruction,,other,noun
business address,,other,noun
time-scale factor,,other,noun
tread down,,other,verb
Dutchman,,other,noun
ace of hearts,,other,noun
chestnut blight,,other,noun
swob,,other,noun
bibliographic,,other,adjective
beta cell,,other,noun
Oaxaca de Juarez,,other,noun
forint,,other,noun
directive,,other,adjective
Maryland yellowthroat,,other,noun
ugliness,,other,noun
activate,,other,verb
toilet articles,,other,noun
subtotal,,other,noun
cyanamide,,other,noun
dysplasia,,other,noun
win,,other,verb
high-rise,,other,adjective
aleph-nought,,other,noun
rebellion,,other,noun
yashmak,,other,noun
immodestly,,other,adverb
blue racer,,other,noun
planet wheel,,other,noun
deaf-muteness,,other,noun
wittiness,,other,noun
Menticirrhus saxatilis,,other,noun
mucopolysaccharide,,other,noun
gimpy,,other,adjective
commune,,other,verb
electronic countermeasures,,other,noun
tall yellow-eye,,other,noun
dub,,other,noun
enduringness,,other,noun
potato yellow-dwarf virus,,other,noun
Belgian griffon,,other,noun
bilabial,,other,adjective
cube-shaped,,other,adjective
work on,,other,verb
pharisaic,,other,adjective
coastwise,,other,adverb
wrist watch,,other,noun
Hebrew calendar,,other,noun
water plantain,,other,noun
spokesman,,other,noun
Anthonomus,,other,noun
Zane Grey,,other,noun
silver fir,,other,noun
medivac,,other,noun
socialisation,,other,noun
Kalmia latifolia,,other,noun
Alpine anemone,,other,noun
Moussorgsky,,other,noun
family Gobiidae,,other,noun
malvasia,,other,noun
protohistory,,other,noun
coadjutor,,other,noun
pine,,other,verb
refresher course,,other,noun
centralist,,other,adjective
side judge,,other,noun
dressmaker,,other,noun
B-girl,,other,noun
occlusion,,other,noun
Fritz Kreisler,,other,noun
extra time,,other,noun
vice chancellor,,other,noun
Sorghum halepense,,other,noun
zoom in,,other,verb
reformation,,other,noun
funnel,,other,verb
no-hitter,,other,noun
doom,,other,noun
putrid,,other,adjective
presuppose,,other,verb
bloodwort family,,other,noun
undiscouraged,,other,adjective
uraturia,,other,noun
bust,,other,verb
airgun,,other,noun
nudeness,,other,noun
pay out,,other,verb
Chaldaean,,other,noun
Chrysophyllum oliviforme,,other,noun
percolation,,other,noun
Mandarin Chinese,,other,noun
Morgan,,other,noun
egg yolk,,other,noun
Hell's Kitchen,,other,noun
scrub up,,other,verb
Macleaya,,other,noun
forbear,,other,verb
genus Larix,,other,noun
ruggedisation,,other,noun
hairless,,other,adjective
phylogeny,,other,noun
lysogeny,,other,noun
shy,,other,noun
hepatic tanager,,other,noun
Reiter's syndrome,,other,noun
moppet,,other,noun
thread,,other,noun
collins,,other,noun
Sea Scout,,other,noun
legged,,other,adjective
drumbeater,,other,noun
suck in,,other,verb
silva,,other,noun
for the first time,,other,adverb
Macadamia ternifolia,,other,noun
genus Odontaspis,,other,noun
eared seal,,other,noun
Avicenna,,other,noun
Orites,,other,noun
simvastatin,,other,noun
inquisitorial,,other,adjective
Varna,,other,noun
whatever,,other,adjective
man hour,,other,noun
unpretentiously,,other,adverb
pianissimo,,other,adverb
technological,,other,adjective
nitrous oxide,,other,noun
leaping,,other,noun
field maple,,other,noun
off-white,,other,noun
unpopular,,other,adjective
strongly,,other,adverb
nutrient agar,,other,noun
national anthem,,other,noun
genus Hydrastis,,other,noun
priest-penitent privilege,,other,noun
Polistes,,other,noun
Orobanchaceae,,other,noun
Byelarus,,other,noun
minister of religion,,other,noun
gin,,other,verb
acquittance,,other,noun
phosphatase,,other,noun
au gratin,,other,adjective
unbranching,,other,adjective
unblended,,other,adjective
maker,,other,noun
Disney,,other,noun
genus Alstroemeria,,other,noun
Riparia,,other,noun
state of the art,,other,noun
intermediate wheatgrass,,other,noun
Tigris,,other,noun
bog down,,other,verb
card,,other,noun
genus Steatornis,,other,noun
cheesemonger,,other,noun
EPA,,other,noun
embankment,,other,noun
T hinge,,other,noun
Guinea pepper,,other,noun
zizz,,other,noun
woodenness,,other,noun
Scomberesocidae,,other,noun
profit-and-loss statement,,other,noun
Antarctic Ocean,,other,noun
Nehemiah,,other,noun
genus Cibotium,,other,noun
dolphin oil,,other,noun
family Triakidae,,other,noun
strong-flavored,,other,adjective
grass-leaved golden aster,,other,noun
isolating,,other,adjective
Kiggelaria africana,,other,noun
interlocutory injunction,,other,noun
advertiser,,other,noun
plexus brachialis,,other,noun
inconceivability,,other,noun
incorporeality,,other,noun
Carya,,other,noun
Church Slavic,,other,noun
Royal Society,,other,noun
black-and-tan terrier,,other,noun
red porgy,,other,noun
absorbent,,other,adjective
Asparagus plumosus,,other,noun
detect,,other,verb
murder conviction,,other,noun
Stephanotis floribunda,,other,noun
walky-talky,,other,noun
saved,,other,adjective
genus Chrysolophus,,other,noun
rap group,,other,noun
theist,,other,noun
kaoliang,,other,noun
grappling,,other,noun
patching,,other,noun
flexible sigmoidoscope,,other,noun
osteosclerosis,,other,noun
coenzyme Q,,other,noun
shaven,,other,adjective
displeasure,,other,noun
sol,,other,noun
salutatory speaker,,other,noun
haggle,,other,verb
algebraically,,other,adverb
voussoir,,other,noun
unimaginatively,,other,adverb
mislay,,other,verb
declassification,,other,noun
softened,,other,adjective
annelid worm,,other,noun
Asurbanipal,,other,noun
cautery,,other,noun
Acrocephalus schoenobaenus,,other,noun
betrothed,,other,adjective
cinnamon bread,,other,noun
class Deuteromycetes,,other,noun
quadripartite,,other,adjective
for that matter,,other,adverb
low-water mark,,other,noun
scrubbing brush,,other,noun
forty-second,,other,adjective
healthcare,,other,noun
athar,,other,noun
westerner,,other,noun
clinical test,,other,noun
foetor,,other,noun
meeter,,other,noun
Cephalanthera,,other,noun
unmalleability,,other,noun
couthy,,other,adjective
doge,,other,noun
defensive,,other,adjective
euphonic,,other,adjective
Carissa grandiflora,,other,noun
identity theft,,other,noun
International System,,other,noun
Pseudacris,,other,noun
humdinger,,other,noun
Sir Thomas More,,other,noun
off-guard,,other,adjective
lacrimal artery,,other,noun
El Qahira,,other,noun
broth of a boy,,other,noun
patella,,other,noun
taboo,,other,adjective
vouch,,other,verb
wild cabbage,,other,noun
Sierra redwood,,other,noun
phratry,,other,noun
class Filicinae,,other,noun
keystone,,other,noun
Ipomoea nil,,other,noun
proceed,,other,verb
understudy,,other,noun
definition,,other,noun
hexadecimal digit,,other,noun
musk-scented,,other,adjective
moon-round,,other,adjective
substandard,,other,adjective
Kandahar,,other,noun
exerciser,,other,noun
caducous,,other,adjective
household appliance,,other,noun
office block,,other,noun
osmiridium,,other,noun
spandex,,other,noun
nitpicker,,other,noun
Paul John Flory,,other,noun
keen,,other,verb
quadratic equation,,other,noun
genus Carduus,,other,noun
driftwood,,other,noun
spurious wing,,other,noun
Lycopodiaceae,,other,noun
