word,pos
condition,noun
Adams,noun
indite,verb
Stephen Crane,noun
block diagram,noun
legal expert,noun
Collinsonia,noun
Chelifer,noun
woodlet,noun
callous,verb
Peromyscus eremicus,noun
genus Mentha,noun
lahar,noun
alacrity,noun
narrow-leaved bottletree,noun
disclosure,noun
benthic division,noun
Ra,noun
lustrum,noun
hipped tile,noun
killdeer,noun
Talinum paniculatum,noun
bipedal,adjective
conventionality,noun
atherosclerosis,noun
flats,noun
chariot,noun
Blucher,noun
sparingly,r
weather deck,noun
United States government,noun
bog rein orchid,noun
small-eared,s
Muztagh,noun
self-suggestion,noun
conditions,noun
alfilaria,noun
barefooted,s
hematopoietic,adjective
Isopoda,noun
Lateran Council,noun
Cryptotis parva,noun
Matricaria chamomilla,noun
Streptopelia,noun
battalion,noun
shutter,verb
OK,r
levanter,noun
hopped-up,s
tusseh,noun
ebonite,noun
reversionist,noun
order Hypericales,noun
king protea,noun
stripy,s
apocope,noun
mortise,noun
overcloud,verb
tupelo tree,noun
swathe,verb
clock face,noun
uncombed,adjective
vena lingualis,noun
immersion,noun
kite balloon,noun
hurler,noun
doctrinal,adjective
gossiping,noun
Great Smoky Mountains National Park,noun
barbwire,noun
side of bacon,noun
Dhahran,noun
Nepenthes,noun
spinal,adjective
do up,verb
bound,noun
luggage,noun
cortical potential,noun
genus Ostryopsis,noun
chemotaxis,noun
Dnieper River,noun
run-resistant,s
in extremis,r
parr,noun
I.E.D.,noun
lecanopteris,noun
shelve,verb
patent,verb
accountant,noun
jodhpurs,noun
full dress,noun
look out,verb
steepness,noun
variedness,noun
cleaning device,noun
sentence structure,noun
crooked-stemmed aster,noun
conversation stopper,noun
Battle of the Little Bighorn,noun
levy,noun
chum up,verb
killer T cell,noun
fistulate,s
weighing,noun
cyst,noun
atole,noun
Christian Friedrich Schonbein,noun
algebraical,adjective
maize,noun
viscount,noun
capital of Malta,noun
agonistic,adjective
River Aire,noun
zodiacal,adjective
Lysiloma sabicu,noun
freeze-dried,s
St. George's,noun
paraquet,noun
egg noodle,noun
genetic mutation,noun
setose,s
Corydalis,noun
lust for learning,noun
healthy,adjective
solitudinarian,noun
undyed,s
long beech fern,noun
angularity,noun
agar-agar,noun
dormant,s
self-depreciation,noun
inactive,adjective
megalosaurus,noun
Caladium bicolor,noun
cannister,noun
subphylum Urochorda,noun
quincentennial,noun
genus Luscinia,noun
appendicular skeleton,noun
morphological,adjective
BASIC,noun
order Mysidacea,noun
notornis,noun
infernally,r
vaticinate,verb
spirituous,s
admeasure,verb
breakableness,noun
steady,s
swatter,noun
gather in,verb
occupation,noun
post hoc,noun
approaching,noun
