word,severity,category
1 man 1 jar,4,shock
one man one jar,4,shock
one jar one man,4,shock
2 girls 1 cup,4,shock
two girls one cup,4,shock
one cup two girls,4,shock
acrotomophilia,3,sexual
acrotomophile,3,sexual
black cock,3,sexual
big cock,3,sexual
huge cock,3,sexual
giant cock,3,sexual
massive cock,3,sexual
throbbing cock,3,sexual
alabama hot pocket,3,sexual
alabama tuna melt,3,sexual
alaskan pipeline,3,sexual
algophilia,3,sexual
algophile,3,sexual
anal,2,sexual
anal assassin,3,lgbtq
anal astronaut,3,lgbtq
anilingus,3,sexual
anus,1,sexual
apeshit,2,general
apotemnophilia,3,sexual
apotemnophile,3,sexual
arse,2,sexual
ass,1,sexual
ass bandit,3,lgbtq
arse bandit,3,lgbtq
autoerotic,3,sexual
auto erotic,3,sexual
babeland,3,sexual
baby batter,3,sexual
baby gravy,3,sexual
baby juice,3,sexual
ball batter,3,sexual
ball gravy,3,sexual
ball gag,3,sexual
ball-gag,3,sexual
ballgag,3,sexual
ball-kicking,3,sexual
ball licking,3,sexual
ball-licking,3,sexual
ball sack,3,sexual
ball sucking,3,sexual
ball-sucking,3,sexual
ballcuzi,3,sexual
bangbros,3,sexual
bang bros,3,sexual
bangbus,3,sexual
bang bus,3,sexual
bareback,3,sexual
barely legal,4,sexual
bastinado,3,sexual
batty boy,3,lgbtq
battyboy,3,lgbtq
batty boi,3,lgbtq
bdsm,3,sexual
bean flicker,3,lgbtq
bean-flicker,3,lgbtq
beanflicker,3,lgbtq
bean queen,3,lgbtq
beaner,3,racial
beaners,3,racial
beastiality,3,sexual
beestiality,3,sexual
bestiality,3,sexual
beaver cleaver,3,sexual
beaver lips,3,sexual
bellesa,3,sexual
bicon,3,lgbtq
big boobs,3,sexual
big breasts,3,sexual
big knockers,3,sexual
big tits,3,sexual
birdlock,3,sexual
bitch,3,general
bloody,1,general
blow your load,3,sexual
blowjob,3,sexual
blue waffle,4,shock
bluewaffle,4,shock
blumpkin,3,sexual
bone smuggler,3,lgbtq
bone-smuggler,3,lgbtq
bonesmuggler,3,lgbtq
boner,3,sexual
raging boner,3,sexual
throbbing boner,3,sexual
boob,1,sexual
booty buffer,3,lgbtq
booty-buffer,3,lgbtq
booty call,3,sexual
boston george,3,sexual
breasts,1,sexual
brown piper,3,lgbtq
brown-piper,3,lgbtq
brownpiper,3,lgbtq
brown shower,3,sexual
brown showers,3,sexual
brownie king,3,lgbtq
brownie queen,3,lgbtq
buddhahead,3,racial
buddha head,3,racial
buddha-head,3,racial
bufter,3,lgbtq
bufty,3,lgbtq
bukkake,3,sexual
bulldyke,3,lgbtq
bullet vibe,3,sexual
bullet vibrator,3,sexual
bullshit,2,general
bum chum,3,lgbtq
bum-chum,3,lgbtq
bumchum,3,lgbtq
bum driller,3,lgbtq
bum-driller,3,lgbtq
bumdriller,3,lgbtq
butt boy,3,lgbtq
butt-boy,3,lgbtq
buttboy,3,lgbtq
bum boy,3,lgbtq
bum-boy,3,lgbtq
bumboy,3,lgbtq
butt pilot,3,lgbtq
bum pilot,3,lgbtq
butt pirate,3,lgbtq
bum pirate,3,lgbtq
bum-pirate,3,lgbtq
butt rider,3,lgbtq
buttrider,3,lgbtq
bum rider,3,lgbtq
bumrider,3,lgbtq
butt robber,3,lgbtq
butt-robber,3,lgbtq
buttrobber,3,lgbtq
bum robber,3,lgbtq
bum-robber,3,lgbtq
bumrobber,3,lgbtq
butt rustler,3,lgbtq
bum rustler,3,lgbtq
butthole engineer,3,lgbtq
bumhole engineer,3,lgbtq
camel jockey,3,racial
